family,storage_physiology,seed_longevity,seed_banking_rank,seed_banking_notes
Cabombaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived; poor for seed banking
Cactaceae,Orthodox,High,5,"Highly suitable; mostly orthodox seeds, easy to dry/store"
Calceolariaceae,Variable,Low-Medium,2,Limited data; assumed low to moderate suitability
Calophyllaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived; poor for seed banking
Calycanthaceae,Variable,Low-Medium,2,Limited data; assumed low to moderate suitability
Calyceraceae,Variable,Low-Medium,2,Limited data; assumed low to moderate suitability
Campanulaceae,Orthodox,High,5,"Highly suitable; mostly orthodox seeds, easy to dry/store"
Canellaceae,Variable,Low-Medium,2,Limited data; assumed low to moderate suitability
Cannabaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, some intermediate"
Cannaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived; poor for seed banking
Capparaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, some intermediate"
Caprifoliaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, some intermediate"
Cardiopteridaceae,Variable,Low-Medium,2,Limited data; assumed low to moderate suitability
Caricaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived; poor for seed banking
Caryocaraceae,Mixed,Medium,3,"Mixed behavior; some orthodox, some intermediate"
Caryophyllaceae,Orthodox,High,5,"Highly suitable; mostly orthodox seeds, easy to dry/store"
Casuarinaceae,Variable,Low-Medium,2,Limited data; assumed low to moderate suitability
Caulacanthaceae,Variable,Low-Medium,2,Limited data; assumed low to moderate suitability
Celastraceae,Mixed,Medium,3,"Mixed behavior; some orthodox, some intermediate"
Centroplacaceae,Variable,Low-Medium,2,Limited data; assumed low to moderate suitability
Ceratophyllaceae,Variable,Low-Medium,2,Limited data; assumed low to moderate suitability
Cervantesiaceae,Variable,Low-Medium,2,Limited data; assumed low to moderate suitability
Chenopodiaceae,Orthodox,High,5,"Highly suitable; mostly orthodox seeds, easy to dry/store"
Chloranthaceae,Variable,Low-Medium,2,Limited data; assumed low to moderate suitability
Chrysobalanaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived; poor for seed banking
Cistaceae,Orthodox,High,5,"Highly suitable; mostly orthodox seeds, easy to dry/store"
Cleomaceae,Orthodox,High,5,"Highly suitable; mostly orthodox seeds, easy to dry/store"
Clethraceae,Variable,Low-Medium,2,Limited data; assumed low to moderate suitability
Clusiaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived; poor for seed banking
Codonaceae,Variable,Low-Medium,2,Limited data; assumed low to moderate suitability
Colchicaceae,Variable,Low-Medium,2,Limited data; assumed low to moderate suitability
Columelliaceae,Variable,Low-Medium,2,Limited data; assumed low to moderate suitability
Comandraceae,Variable,Low-Medium,2,Limited data; assumed low to moderate suitability
Combretaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, some intermediate"
Commelinaceae,Variable,Low-Medium,2,Limited data; assumed low to moderate suitability
Connaraceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived; poor for seed banking
Convolvulaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, some intermediate"
Cordiaceae,Variable,Low-Medium,2,Limited data; assumed low to moderate suitability
Coriariaceae,Variable,Low-Medium,2,Limited data; assumed low to moderate suitability
Cornaceae,Orthodox,High,5,"Highly suitable; mostly orthodox seeds, easy to dry/store"
Corynocarpaceae,Variable,Low-Medium,2,Limited data; assumed low to moderate suitability
Costaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived; poor for seed banking
Coulaceae,Variable,Low–Medium,2,Limited data or uncertain; assumed low–moderate suitability
Crassulaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; important crops"
Crypteroniaceae,Variable,Low–Medium,2,Limited data or uncertain; assumed low–moderate suitability
Cucurbitaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; important crops"
Cunoniaceae,Variable,Low–Medium,2,Limited data or uncertain; assumed low–moderate suitability
Curtisiaceae,Variable,Low–Medium,2,Limited data or uncertain; assumed low–moderate suitability
Cyclanthaceae,Variable,Low–Medium,2,Limited data or uncertain; assumed low–moderate suitability
Cymodoceaceae,Recalcitrant,Low,1,Recalcitrant or very short-lived seeds; unsuitable for seed banking
Cynomoriaceae,Recalcitrant,Low,1,Recalcitrant or very short-lived seeds; unsuitable for seed banking
Cyperaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; important crops"
Cystocloniaceae,Recalcitrant,Low,1,Recalcitrant or very short-lived seeds; unsuitable for seed banking
Cytinaceae,Recalcitrant,Low,1,Recalcitrant or very short-lived seeds; unsuitable for seed banking
Daphniphyllaceae,Variable,Low–Medium,2,Limited data or uncertain; assumed low–moderate suitability
Diapensiaceae,Variable,Low–Medium,2,Limited data or uncertain; assumed low–moderate suitability
Dichapetalaceae,Variable,Low–Medium,2,Limited data or uncertain; assumed low–moderate suitability
Didiereaceae,Variable,Low–Medium,2,Limited data or uncertain; assumed low–moderate suitability
Dilleniaceae,Variable,Low–Medium,2,Limited data or uncertain; assumed low–moderate suitability
Dioscoreaceae,Recalcitrant,Low,1,Recalcitrant or very short-lived seeds; unsuitable for seed banking
Dipterocarpaceae,Recalcitrant,Low,1,Recalcitrant or very short-lived seeds; unsuitable for seed banking
Doryanthaceae,Variable,Low–Medium,2,Limited data or uncertain; assumed low–moderate suitability
Droseraceae,Mixed,Medium,3,"Mixed behavior; some orthodox species, others problematic"
Ebenaceae,Recalcitrant,Low,1,Recalcitrant or very short-lived seeds; unsuitable for seed banking
Ehretiaceae,Variable,Low–Medium,2,Limited data or uncertain; assumed low–moderate suitability
Elaeagnaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; important crops"
Elaeocarpaceae,Recalcitrant,Low,1,Recalcitrant or very short-lived seeds; unsuitable for seed banking
Ericaceae,Mixed,Medium,3,"Mixed behavior; some orthodox species, others problematic"
Eriocaulaceae,Variable,Low–Medium,2,Limited data or uncertain; assumed low–moderate suitability
Erythropalaceae,Variable,Low–Medium,2,Limited data or uncertain; assumed low–moderate suitability
Erythroxylaceae,Variable,Low–Medium,2,Limited data or uncertain; assumed low–moderate suitability
Escalloniaceae,Mixed,Medium,3,"Mixed behavior; some orthodox species, others problematic"
Eucommiaceae,Variable,Low–Medium,2,Limited data or uncertain; assumed low–moderate suitability
Euphorbiaceae,Mixed,Medium,3,"Mixed behavior; some orthodox species, others problematic"
Eupomatiaceae,Recalcitrant,Low,1,Recalcitrant or very short-lived seeds; unsuitable for seed banking
Eupteleaceae,Variable,Low–Medium,2,Limited data or uncertain; assumed low–moderate suitability
Fabaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; important crops"
Fagaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; important crops"
Flagellariaceae,Variable,Low–Medium,2,Limited data or uncertain; assumed low–moderate suitability
Fouquieriaceae,Variable,Low–Medium,2,Limited data or uncertain; assumed low–moderate suitability
Francoaceae,Variable,Low–Medium,2,Limited data or uncertain; assumed low–moderate suitability
Frankeniaceae,Mixed,Medium,3,"Mixed behavior; some orthodox species, others problematic"
Garryaceae,Variable,Low–Medium,2,Limited data or uncertain; assumed low–moderate suitability
Gelsemiaceae,Variable,Low–Medium,2,Limited data or uncertain; assumed low–moderate suitability
Gentianaceae,Mixed,Medium,3,"Mixed behavior; some orthodox species, others problematic"
Geraniaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; important crops"
Gesneriaceae,Mixed,Medium,3,"Mixed behavior; some orthodox species, others problematic"
Gisekiaceae,Variable,Low–Medium,2,Limited data or uncertain; assumed low–moderate suitability
Gomortegaceae,Variable,Low–Medium,2,Limited data or uncertain; assumed low–moderate suitability
Goodeniaceae,Mixed,Medium,3,"Mixed behavior; some orthodox species, others problematic"
Goupiaceae,Variable,Low–Medium,2,Limited data or uncertain; assumed low–moderate suitability
Griseliniaceae,Variable,Low–Medium,2,Limited data or uncertain; assumed low–moderate suitability
Grossulariaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many crops and ornamentals"
Gunneraceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Gyrostemonaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Haemodoraceae,Mixed,Medium,3,"Mixed behavior; some orthodox, others intermediate"
Haloragaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, others intermediate"
Hamamelidaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many crops and ornamentals"
Hanguanaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Heliconiaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived; unsuitable for seed banking
Heliotropiaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, others intermediate"
Helwingiaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Hernandiaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived; unsuitable for seed banking
Himantandraceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Huaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Humiriaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived; unsuitable for seed banking
Hydnoraceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived; unsuitable for seed banking
Hydrangeaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many crops and ornamentals"
Hydrocharitaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived; unsuitable for seed banking
Hydroleaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Hydrophyllaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, others intermediate"
Hypericaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many crops and ornamentals"
Hypoxidaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, others intermediate"
Icacinaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, others intermediate"
Iridaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many crops and ornamentals"
Irvingiaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Iteaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Ixioliriaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Ixonanthaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, others intermediate"
Juglandaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many crops and ornamentals"
Juncaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many crops and ornamentals"
Juncaginaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Kewaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Kirkiaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Krameriaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Lacistemataceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Lamiaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many crops and ornamentals"
Lanariaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Lardizabalaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Lauraceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived; unsuitable for seed banking
Lecythidaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived; unsuitable for seed banking
Lennoaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Lentibulariaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Liliaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Limeaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Linaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many crops and ornamentals"
Linderniaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Loasaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, others intermediate"
Loganiaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, others intermediate"
Lophiocarpaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Lophopyxidaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Loranthaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived; unsuitable for seed banking
Lythraceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many important crops"
Magnoliaceae,Recalcitrant,Low,1,Mostly recalcitrant or very short-lived seeds; unsuitable for seed banking
Malpighiaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, others problematic"
Malvaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many important crops"
Marantaceae,Recalcitrant,Low,1,Mostly recalcitrant or very short-lived seeds; unsuitable for seed banking
Marcgraviaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Martyniaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many important crops"
Mazaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Melanthiaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, others problematic"
Melastomataceae,Recalcitrant,Low,1,Mostly recalcitrant or very short-lived seeds; unsuitable for seed banking
Meliaceae,Recalcitrant,Low,1,Mostly recalcitrant or very short-lived seeds; unsuitable for seed banking
Menispermaceae,Recalcitrant,Low,1,Mostly recalcitrant or very short-lived seeds; unsuitable for seed banking
Menyanthaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, others problematic"
Metteniusaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Molluginaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many important crops"
Monimiaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, others problematic"
Montiaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many important crops"
Montiniaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Moraceae,Recalcitrant,Low,1,Mostly recalcitrant or very short-lived seeds; unsuitable for seed banking
Moringaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many important crops"
Muntingiaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Musaceae,Recalcitrant,Low,1,Mostly recalcitrant or very short-lived seeds; unsuitable for seed banking
Myricaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Myristicaceae,Recalcitrant,Low,1,Mostly recalcitrant or very short-lived seeds; unsuitable for seed banking
Myrothamnaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Myrtaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many important crops"
Nartheciaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Nelumbonaceae,Recalcitrant,Low,1,Mostly recalcitrant or very short-lived seeds; unsuitable for seed banking
Nepenthaceae,Recalcitrant,Low,1,Mostly recalcitrant or very short-lived seeds; unsuitable for seed banking
Neuradaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Nitrariaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Nothofagaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many important crops"
Nyctaginaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, others problematic"
Nymphaeaceae,Recalcitrant,Low,1,Mostly recalcitrant or very short-lived seeds; unsuitable for seed banking
Nyssaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, others problematic"
Ochnaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, others problematic"
Olacaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Oleaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many important crops"
Onagraceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many important crops"
Opiliaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, others problematic"
Orchidaceae,Recalcitrant,Low,1,Mostly recalcitrant or very short-lived seeds; unsuitable for seed banking
Orobanchaceae,Recalcitrant,Low,1,Mostly recalcitrant or very short-lived seeds; unsuitable for seed banking
Oxalidaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many important crops"
Paeoniaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Panaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Pandaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Pandanaceae,Recalcitrant,Low,1,Mostly recalcitrant or very short-lived seeds; unsuitable for seed banking
Papaveraceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many important crops"
Passifloraceae,Recalcitrant,Low,1,Mostly recalcitrant or very short-lived seeds; unsuitable for seed banking
Paulowniaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, others problematic"
Pedaliaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; includes many crop families"
Penaeaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Pennantiaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Pentadiplandraceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Pentaphragmataceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Pentaphylacaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, others intermediate"
Penthoraceae,Mixed,Medium,3,"Mixed behavior; some orthodox, others intermediate"
Peraceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Peridiscaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Petiveriaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Philesiaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Phrymaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; includes many crop families"
Phyllanthaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, others intermediate"
Phytolaccaceae,Recalcitrant,Low,1,Mostly recalcitrant or very short-lived seeds; unsuitable for seed banking
Picramniaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, others intermediate"
Picrodendraceae,Mixed,Medium,3,"Mixed behavior; some orthodox, others intermediate"
Piperaceae,Recalcitrant,Low,1,Mostly recalcitrant or very short-lived seeds; unsuitable for seed banking
Pittosporaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, others intermediate"
Plantaginaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; includes many crop families"
Platanaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, others intermediate"
Plumbaginaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; includes many crop families"
Poaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; includes many crop families"
Podostemaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Polemoniaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; includes many crop families"
Polygalaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; includes many crop families"
Polygonaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; includes many crop families"
Pomaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Pontederiaceae,Recalcitrant,Low,1,Mostly recalcitrant or very short-lived seeds; unsuitable for seed banking
Portulacaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; includes many crop families"
Potamogetonaceae,Recalcitrant,Low,1,Mostly recalcitrant or very short-lived seeds; unsuitable for seed banking
Primulaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; includes many crop families"
Proteaceae,Recalcitrant,Low,1,Mostly recalcitrant or very short-lived seeds; unsuitable for seed banking
Putranjivaceae,Recalcitrant,Low,1,Mostly recalcitrant or very short-lived seeds; unsuitable for seed banking
Quillajaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, others intermediate"
Ramalinaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Ranunculaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; includes many crop families"
Rapateaceae,Recalcitrant,Low,1,Mostly recalcitrant or very short-lived seeds; unsuitable for seed banking
Resedaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; includes many crop families"
Restionaceae,Recalcitrant,Low,1,Mostly recalcitrant or very short-lived seeds; unsuitable for seed banking
Rhamnaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; includes many crop families"
Rhizophoraceae,Recalcitrant,Low,1,Mostly recalcitrant or very short-lived seeds; unsuitable for seed banking
Ripogonaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Rosaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; includes many crop families"
Rubiaceae,Recalcitrant,Low,1,Mostly recalcitrant or very short-lived seeds; unsuitable for seed banking
Ruppiaceae,Recalcitrant,Low,1,Mostly recalcitrant or very short-lived seeds; unsuitable for seed banking
Rutaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; includes many crop families"
Sabiaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, others intermediate"
Salicaceae,Recalcitrant,Low,1,Mostly recalcitrant or very short-lived seeds; unsuitable for seed banking
Salvadoraceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Santalaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, some problematic"
Sapindaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many crops and ornamentals"
Sapotaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived seeds; unsuitable for seed banking
Sarcobataceae,Mixed,Medium,3,"Mixed behavior; some orthodox, some problematic"
Sarcolaenaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, some problematic"
Saururaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Saxifragaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many crops and ornamentals"
Schisandraceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived seeds; unsuitable for seed banking
Schlegeliaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Schoepfiaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, some problematic"
Scrophulariaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many crops and ornamentals"
Simaroubaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived seeds; unsuitable for seed banking
Simmondsiaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Siparunaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived seeds; unsuitable for seed banking
Smilacaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived seeds; unsuitable for seed banking
Solanaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many crops and ornamentals"
Sphenocleaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Staphyleaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many crops and ornamentals"
Stemonaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived seeds; unsuitable for seed banking
Stemonuraceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived seeds; unsuitable for seed banking
Stilbaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, some problematic"
Stixaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, some problematic"
Strelitziaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived seeds; unsuitable for seed banking
Strombosiaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived seeds; unsuitable for seed banking
Styracaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, some problematic"
Surianaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, some problematic"
Symplocaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived seeds; unsuitable for seed banking
Talinaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Tamaricaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many crops and ornamentals"
Tecophilaeaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
